0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:02:02 +0530] "POST /ORS4/ctl/CourseListCtl HTTP/1.1" 200 5575
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:02:06 +0530] "POST /ORS4/ctl/CourseListCtl HTTP/1.1" 200 5325
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:02:13 +0530] "POST /ORS4/ctl/CourseListCtl HTTP/1.1" 200 5577
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:02:17 +0530] "GET /ORS4/ctl/CourseListCtl HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:21:56 +0530] "GET /ORS4/ctl/MyProfileCtl HTTP/1.1" 200 6682
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:21:56 +0530] "GET /ORS4/js/calendar.js HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:21:59 +0530] "GET /ORS4/WelcomeCtl HTTP/1.1" 200 4136
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:09 +0530] "GET /ORS4/ctl/GetMarksheetCtl HTTP/1.1" 200 4815
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:10 +0530] "GET /ORS4/ctl/ChangePasswordCtl HTTP/1.1" 200 5622
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:13 +0530] "GET /ORS4/doc/index.html HTTP/1.1" 200 4835
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:13 +0530] "GET /ORS4/doc/script-dir/jquery-3.4.1.js HTTP/1.1" 200 280363
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:13 +0530] "GET /ORS4/doc/script-dir/jszip/dist/jszip.min.js HTTP/1.1" 200 102328
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:13 +0530] "GET /ORS4/doc/stylesheet.css HTTP/1.1" 200 21999
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:13 +0530] "GET /ORS4/doc/script-dir/jquery-ui.css HTTP/1.1" 200 20275
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:13 +0530] "GET /ORS4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [16/Jun/2020:18:22:13 +0530] "GET /ORS4/doc/script-dir/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 200 1777
